epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_loss
0,,49,,0.35816454887390137,
0,,99,,0.5572108030319214,
0,,149,,0.32926735281944275,
0,,154,,,0.2316078394651413
0,0.001000000862404704,154,0.3293205797672272,,
1,,199,,0.42866480350494385,
1,,249,,0.32341915369033813,
1,,299,,0.24616611003875732,
1,,309,,,0.23880575597286224
1,0.001000000862404704,309,0.30780744552612305,,
2,,349,,0.22677499055862427,
2,,399,,0.2999458611011505,
2,,449,,0.297209769487381,
2,,464,,,0.23061873018741608
2,0.001000000862404704,464,0.31025412678718567,,
3,,499,,0.2869110107421875,
3,,549,,0.3034963309764862,
3,,599,,0.35545554757118225,
3,,619,,,0.29472896456718445
3,0.001000000862404704,619,0.30749616026878357,,
4,,649,,0.23527751863002777,
4,,699,,0.35219138860702515,
4,,749,,0.2887418866157532,
4,,774,,,0.22405663132667542
4,0.001000000862404704,774,0.3067300319671631,,
5,,799,,0.2589714229106903,
5,,849,,0.8752518892288208,
5,,899,,0.23161202669143677,
5,,929,,,0.26083236932754517
5,0.001000000862404704,929,0.3232211768627167,,
6,,949,,0.2761538326740265,
6,,999,,0.4054449200630188,
6,,1049,,0.2657719552516937,
6,,1084,,,0.22913292050361633
6,0.001000000862404704,1084,0.29699262976646423,,
7,,1099,,0.27029120922088623,
7,,1149,,0.2699447274208069,
7,,1199,,0.2304351031780243,
7,,1239,,,0.24353095889091492
7,0.001000000862404704,1239,0.29408976435661316,,
8,,1249,,0.2727149426937103,
8,,1299,,0.39708420634269714,
8,,1349,,0.244314506649971,
8,,1394,,,0.22652752697467804
8,0.001000000862404704,1394,0.2810390293598175,,
9,,1399,,0.3201324939727783,
9,,1449,,0.3255437910556793,
9,,1499,,0.35453349351882935,
9,,1549,,0.27701619267463684,
9,,1549,,,0.2372593730688095
9,0.001000000862404704,1549,0.2786736488342285,,
10,,1599,,0.3808911144733429,
10,,1649,,0.25648853182792664,
10,,1699,,0.25627848505973816,
10,,1704,,,0.23166197538375854
10,0.001000000862404704,1704,0.2915025055408478,,
11,,1749,,0.29665693640708923,
11,,1799,,0.22440074384212494,
11,,1849,,0.2966649532318115,
11,,1859,,,0.2228527069091797
11,0.001000000862404704,1859,0.2784440517425537,,
12,,1899,,0.4260174334049225,
12,,1949,,0.23972120881080627,
12,,1999,,0.2659134268760681,
12,,2014,,,0.23513001203536987
12,0.001000000862404704,2014,0.27820518612861633,,
13,,2049,,0.23164795339107513,
13,,2099,,0.28148630261421204,
13,,2149,,0.30376559495925903,
13,,2169,,,0.23581795394420624
13,0.001000000862404704,2169,0.27399110794067383,,
14,,2199,,0.3710082471370697,
14,,2249,,0.3825151324272156,
14,,2299,,0.4354298412799835,
14,,2324,,,0.23851974308490753
14,0.001000000862404704,2324,0.2938278317451477,,
15,,2349,,0.5483661890029907,
15,,2399,,0.23870643973350525,
15,,2449,,0.2441476285457611,
15,,2479,,,0.23708224296569824
15,0.001000000862404704,2479,0.2823071777820587,,
16,,2499,,0.23439446091651917,
16,,2549,,0.26198992133140564,
16,,2599,,0.2350035011768341,
16,,2634,,,0.2332114428281784
16,0.001000000862404704,2634,0.2636236548423767,,
17,,2649,,0.21881912648677826,
17,,2699,,0.2320687472820282,
17,,2749,,0.26129859685897827,
17,,2789,,,0.22751419246196747
17,0.001000000862404704,2789,0.26538610458374023,,
18,,2799,,0.22826720774173737,
18,,2849,,0.252744197845459,
18,,2899,,0.21605901420116425,
18,,2944,,,0.22184891998767853
18,0.001000000862404704,2944,0.26261210441589355,,
19,,2949,,0.24137766659259796,
19,,2999,,0.2486588954925537,
19,,3049,,0.29970020055770874,
19,,3099,,0.2624029517173767,
19,,3099,,,0.22308650612831116
19,0.001000000862404704,3099,0.2707193195819855,,
20,,3149,,0.31280770897865295,
20,,3199,,0.28995481133461,
20,,3249,,0.2429029643535614,
20,,3254,,,0.22790786623954773
20,0.001000000862404704,3254,0.26260051131248474,,
21,,3299,,0.22723212838172913,
21,,3349,,0.24722172319889069,
21,,3399,,0.24423269927501678,
21,,3409,,,0.22609485685825348
21,0.001000000862404704,3409,0.27239635586738586,,
22,,3449,,0.22752512991428375,
22,,3499,,0.28519245982170105,
22,,3549,,0.2103719264268875,
22,,3564,,,0.22495393455028534
22,0.001000000862404704,3564,0.2663642466068268,,
23,,3599,,0.28041979670524597,
23,,3649,,0.5165776014328003,
23,,3699,,0.2501712143421173,
23,,3719,,,0.22308088839054108
23,0.001000000862404704,3719,0.2696404755115509,,
24,,3749,,0.22437317669391632,
24,,3799,,0.2459511011838913,
24,,3849,,0.23893846571445465,
24,,3874,,,0.2233666032552719
24,0.001000000862404704,3874,0.2638933062553406,,
25,,3899,,0.2505510747432709,
25,,3949,,0.2798745930194855,
25,,3999,,0.24364617466926575,
