epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_loss
0,,49,,0.7365666627883911,
0,,99,,0.649979829788208,
0,,149,,0.7564548850059509,
0,,154,,,0.6584656238555908
0,0.001000000862404704,154,0.7017199993133545,,
1,,199,,0.8516812324523926,
1,,249,,0.8294354677200317,
1,,299,,0.6726275682449341,
1,,309,,,0.6461867094039917
1,0.001000000862404704,309,0.6619219183921814,,
2,,349,,0.6604454517364502,
2,,399,,0.8313236236572266,
2,,449,,0.6736208200454712,
2,,464,,,0.6652153730392456
2,0.001000000862404704,464,0.656036913394928,,
3,,499,,0.7223405241966248,
3,,549,,0.5653099417686462,
3,,599,,0.646198570728302,
3,,619,,,0.6476090550422668
3,0.001000000862404704,619,0.6475955247879028,,
4,,649,,0.7048449516296387,
4,,699,,0.67833411693573,
4,,749,,0.662647008895874,
4,,774,,,0.6419671177864075
4,0.001000000862404704,774,0.6494012475013733,,
5,,799,,0.5289947390556335,
5,,849,,0.6008658409118652,
5,,899,,0.7595599293708801,
5,,929,,,0.6556171178817749
5,0.001000000862404704,929,0.6466342210769653,,
6,,949,,0.6944037079811096,
6,,999,,0.6650430560112,
6,,1049,,0.7396637797355652,
6,,1084,,,0.6390834450721741
6,0.001000000862404704,1084,0.6474890112876892,,
7,,1099,,0.6921702027320862,
7,,1149,,0.583779513835907,
7,,1199,,0.653656542301178,
7,,1239,,,0.6357337236404419
7,0.001000000862404704,1239,0.655120313167572,,
8,,1249,,0.751362144947052,
8,,1299,,0.6373283267021179,
8,,1349,,0.6361544728279114,
8,,1394,,,0.6494113206863403
8,0.001000000862404704,1394,0.6432568430900574,,
9,,1399,,0.6646066308021545,
9,,1449,,0.6572350263595581,
9,,1499,,0.6457608342170715,
9,,1549,,1.0104972124099731,
9,,1549,,,0.6309276223182678
9,0.001000000862404704,1549,0.6429395079612732,,
10,,1599,,0.6038236618041992,
10,,1649,,0.5587007403373718,
10,,1699,,0.6483170986175537,
10,,1704,,,0.6410883665084839
10,0.001000000862404704,1704,0.6374775767326355,,
11,,1749,,0.5829430222511292,
11,,1799,,0.6547365188598633,
11,,1849,,0.624459981918335,
11,,1859,,,0.6386225819587708
11,0.001000000862404704,1859,0.6446819305419922,,
12,,1899,,0.6728019118309021,
12,,1949,,0.7736275792121887,
12,,1999,,0.6646314263343811,
12,,2014,,,0.6352832913398743
12,0.001000000862404704,2014,0.6432917714118958,,
13,,2049,,0.5816592574119568,
13,,2099,,0.6530813574790955,
13,,2149,,0.5410090684890747,
13,,2169,,,0.6372705101966858
13,0.001000000862404704,2169,0.6403612494468689,,
14,,2199,,0.6685277819633484,
14,,2249,,0.6984801292419434,
14,,2299,,0.659635066986084,
14,,2324,,,0.639463484287262
14,0.001000000862404704,2324,0.6409159302711487,,
