epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_loss
0,,49,,0.6289021968841553,
0,,99,,0.8348577618598938,
0,,149,,0.6369423270225525,
0,,154,,,0.6504295468330383
0,0.001000000862404704,154,0.6943179368972778,,
1,,199,,0.6134766936302185,
1,,249,,0.6595324873924255,
1,,299,,0.5868861675262451,
1,,309,,,0.6503667831420898
1,0.001000000862404704,309,0.6572128534317017,,
2,,349,,0.7047531008720398,
2,,399,,0.6175729036331177,
2,,449,,0.5863945484161377,
2,,464,,,0.6495987772941589
2,0.001000000862404704,464,0.6586851477622986,,
3,,499,,0.5949965119361877,
3,,549,,0.6401983499526978,
3,,599,,0.668254554271698,
3,,619,,,0.6589849591255188
3,0.001000000862404704,619,0.6477048397064209,,
4,,649,,0.7449431419372559,
4,,699,,0.6487144827842712,
4,,749,,0.5573315620422363,
4,,774,,,0.6589687466621399
4,0.001000000862404704,774,0.6439208984375,,
5,,799,,0.6454159617424011,
5,,849,,0.6069510579109192,
5,,899,,0.6511808633804321,
5,,929,,,0.6479272842407227
5,0.001000000862404704,929,0.658253014087677,,
6,,949,,0.7317196130752563,
6,,999,,0.7148573994636536,
6,,1049,,0.5262973308563232,
6,,1084,,,0.6956068277359009
6,0.001000000862404704,1084,0.6518133282661438,,
7,,1099,,0.7262159585952759,
7,,1149,,0.709468424320221,
7,,1199,,0.6697617769241333,
7,,1239,,,0.651826798915863
7,0.001000000862404704,1239,0.6490621566772461,,
8,,1249,,0.6561406254768372,
8,,1299,,0.5792157053947449,
8,,1349,,0.583468496799469,
8,,1394,,,0.650056004524231
8,0.001000000862404704,1394,0.6465111970901489,,
9,,1399,,0.6376947164535522,
9,,1449,,0.6566043496131897,
9,,1499,,0.6819884181022644,
9,,1549,,0.8153062462806702,
9,,1549,,,0.642802894115448
9,0.001000000862404704,1549,0.6427211761474609,,
10,,1599,,0.686259925365448,
10,,1649,,0.6218182444572449,
10,,1699,,0.6560697555541992,
10,,1704,,,0.6420111060142517
10,0.001000000862404704,1704,0.6396227478981018,,
11,,1749,,0.7244462370872498,
11,,1799,,0.6372382640838623,
11,,1849,,0.6816127896308899,
11,,1859,,,0.6488334536552429
11,0.001000000862404704,1859,0.6478852033615112,,
12,,1899,,0.7419283986091614,
12,,1949,,0.6330638527870178,
12,,1999,,0.6607065200805664,
12,,2014,,,0.6471813917160034
12,0.001000000862404704,2014,0.6395397782325745,,
13,,2049,,0.5827502012252808,
13,,2099,,0.5267685055732727,
13,,2149,,0.6719310283660889,
13,,2169,,,0.6537179350852966
13,0.001000000862404704,2169,0.6426953673362732,,
14,,2199,,0.5770634412765503,
14,,2249,,0.5927613377571106,
14,,2299,,0.6818764805793762,
14,,2324,,,0.6464546322822571
14,0.001000000862404704,2324,0.638908326625824,,
15,,2349,,0.700485348701477,
15,,2399,,0.6834546327590942,
15,,2449,,0.5831935405731201,
15,,2479,,,0.650932788848877
15,0.001000000862404704,2479,0.6363242268562317,,
16,,2499,,0.6977830529212952,
16,,2549,,0.6734978556632996,
16,,2599,,0.6382718086242676,
16,,2634,,,0.6466988921165466
16,0.001000000862404704,2634,0.6355293989181519,,
17,,2649,,0.6183841228485107,
