epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_loss
0,,49,,0.3175598978996277,
0,,99,,0.37420305609703064,
0,,149,,0.278564989566803,
0,,154,,,0.26623591780662537
0,0.001000000862404704,154,0.3498203456401825,,
1,,199,,0.3327295482158661,
1,,249,,0.3926073908805847,
1,,299,,0.22162707149982452,
1,,309,,,0.23347404599189758
1,0.001000000862404704,309,0.31441789865493774,,
2,,349,,0.2925823926925659,
2,,399,,0.23991204798221588,
2,,449,,0.2352977842092514,
2,,464,,,0.24526557326316833
2,0.001000000862404704,464,0.301999032497406,,
3,,499,,0.23993733525276184,
3,,549,,0.2398412674665451,
3,,599,,0.2450123131275177,
3,,619,,,0.24650664627552032
3,0.001000000862404704,619,0.2971426546573639,,
4,,649,,0.3557627499103546,
