epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_loss
0,,49,,0.1905381977558136,
0,,99,,0.033030979335308075,
0,,149,,0.0568043552339077,
0,,154,,,0.03420699015259743
0,0.001000000862404704,154,0.16675055027008057,,
1,,199,,0.48148494958877563,
1,,249,,0.062363140285015106,
1,,299,,0.05035720765590668,
1,,309,,,0.07334863394498825
1,0.001000000862404704,309,0.1152404323220253,,
2,,349,,0.06158506125211716,
2,,399,,0.38093820214271545,
2,,449,,0.08691246807575226,
2,,464,,,0.027388593181967735
2,0.001000000862404704,464,0.1437377631664276,,
3,,499,,0.15708892047405243,
3,,549,,0.07033071666955948,
3,,599,,0.17302916944026947,
3,,619,,,0.03543490171432495
3,0.001000000862404704,619,0.1364850401878357,,
4,,649,,0.07384534180164337,
4,,699,,0.08046874403953552,
4,,749,,0.03178359940648079,
4,,774,,,0.08043581247329712
4,0.001000000862404704,774,0.11151471734046936,,
5,,799,,0.11470551043748856,
5,,849,,0.04481479525566101,
5,,899,,0.1295585334300995,
5,,929,,,0.11970580369234085
5,0.001000000862404704,929,0.13785643875598907,,
6,,949,,0.05364888906478882,
6,,999,,0.05441885441541672,
6,,1049,,0.08884535729885101,
6,,1084,,,0.08069691061973572
6,0.001000000862404704,1084,0.13056638836860657,,
7,,1099,,0.052164413034915924,
7,,1149,,0.4423214793205261,
7,,1199,,0.05825604125857353,
7,,1239,,,0.047785915434360504
7,0.001000000862404704,1239,0.11237211525440216,,
8,,1249,,0.14879801869392395,
8,,1299,,0.04009908437728882,
8,,1349,,0.23177777230739594,
8,,1394,,,0.029017426073551178
8,0.001000000862404704,1394,0.11096395552158356,,
9,,1399,,0.06821724027395248,
9,,1449,,0.05261027812957764,
9,,1499,,0.03283820301294327,
9,,1549,,0.18263311684131622,
9,,1549,,,0.04370119050145149
9,0.001000000862404704,1549,0.10547610372304916,,
10,,1599,,0.09384380280971527,
10,,1649,,0.04173850268125534,
10,,1699,,0.3703955411911011,
10,,1704,,,0.10938247293233871
10,0.001000000862404704,1704,0.11044836789369583,,
11,,1749,,0.04865610972046852,
11,,1799,,0.18441322445869446,
11,,1849,,0.08076389878988266,
11,,1859,,,0.04862787574529648
11,0.001000000862404704,1859,0.13069330155849457,,
12,,1899,,0.13035117089748383,
12,,1949,,0.03896790370345116,
12,,1999,,0.04478299617767334,
12,,2014,,,0.04826388135552406
12,0.001000000862404704,2014,0.0977291688323021,,
13,,2049,,0.4936686158180237,
13,,2099,,0.2062862515449524,
13,,2149,,0.041001446545124054,
13,,2169,,,0.03389456123113632
13,0.001000000862404704,2169,0.10147444903850555,,
14,,2199,,0.030976280570030212,
14,,2249,,0.06379496306180954,
14,,2299,,0.03280831500887871,
14,,2324,,,0.02622891589999199
14,9.999988105846569e-05,2324,0.07552886009216309,,
15,,2349,,0.06403123587369919,
15,,2399,,0.03542812541127205,
15,,2449,,0.0441846139729023,
15,,2479,,,0.032753266394138336
15,9.999988105846569e-05,2479,0.07579749077558517,,
16,,2499,,0.04120755195617676,
16,,2549,,0.05595894157886505,
16,,2599,,0.05986567959189415,
16,,2634,,,0.03230886533856392
16,9.999988105846569e-05,2634,0.07302016764879227,,
17,,2649,,0.044576361775398254,
17,,2699,,0.04075564071536064,
17,,2749,,0.0387752391397953,
17,,2789,,,0.027306998148560524
17,9.999988105846569e-05,2789,0.059729885309934616,,
18,,2799,,0.03598030284047127,
18,,2849,,0.053930893540382385,
18,,2899,,0.02750217355787754,
18,,2944,,,0.03185385465621948
18,9.999988105846569e-05,2944,0.055723533034324646,,
19,,2949,,0.024447061121463776,
19,,2999,,0.03953329473733902,
19,,3049,,0.06234464794397354,
19,,3099,,0.17272506654262543,
19,,3099,,,0.04767958074808121
19,9.999988105846569e-05,3099,0.055775951594114304,,
20,,3149,,0.029821332544088364,
20,,3199,,0.028839653357863426,
20,,3249,,0.045398302376270294,
20,,3254,,,0.025936184450984
20,9.999988105846569e-05,3254,0.04941931739449501,,
21,,3299,,0.0345938503742218,
21,,3349,,0.029963113367557526,
21,,3399,,0.03079693764448166,
21,,3409,,,0.027464214712381363
21,9.999988105846569e-05,3409,0.050593335181474686,,
22,,3449,,0.030133139342069626,
22,,3499,,0.02721468172967434,
22,,3549,,0.09603587538003922,
22,,3564,,,0.027149053290486336
22,9.999988105846569e-05,3564,0.04236472025513649,,
23,,3599,,0.03144783899188042,
23,,3649,,0.04383706673979759,
23,,3699,,0.03586212918162346,
23,,3719,,,0.03628433495759964
23,9.999988105846569e-05,3719,0.040230199694633484,,
24,,3749,,0.07583725452423096,
24,,3799,,0.030551385134458542,
24,,3849,,0.03710614889860153,
24,,3874,,,0.05195068195462227
24,9.999988105846569e-05,3874,0.04832514002919197,,
25,,3899,,0.041700322180986404,
25,,3949,,0.02587638981640339,
25,,3999,,0.026707252487540245,
25,,4029,,,0.028357645496726036
25,9.999988105846569e-05,4029,0.03980441018939018,,
26,,4049,,0.027186201885342598,
26,,4099,,0.04084613546729088,
26,,4149,,0.03159845247864723,
26,,4184,,,0.04035847634077072
