epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_loss
0,,49,,0.7284914255142212,
0,,99,,0.22716565430164337,
0,,149,,0.04275386035442352,
0,,154,,,0.06301792711019516
0,0.001000000862404704,154,0.15745235979557037,,
1,,199,,0.05956404656171799,
1,,249,,0.06770465523004532,
1,,299,,0.10635208338499069,
1,,309,,,0.05452873557806015
1,0.001000000862404704,309,0.09655749797821045,,
2,,349,,0.04814453050494194,
2,,399,,0.05147996544837952,
2,,449,,0.05446166917681694,
2,,464,,,0.08733098208904266
2,0.001000000862404704,464,0.10598070174455643,,
3,,499,,0.0360834002494812,
3,,549,,0.041219085454940796,
3,,599,,0.05816340073943138,
3,,619,,,0.034081291407346725
3,0.001000000862404704,619,0.077187180519104,,
4,,649,,0.11049621552228928,
