epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_loss
0,,49,,0.06896813958883286,
0,,99,,0.16075000166893005,
0,,149,,0.052792929112911224,
0,,199,,0.07526621967554092,
0,,199,,,0.06374907493591309
0,0.0010000010952353477,199,0.10319266468286514,,
1,,249,,0.08224736899137497,
1,,299,,0.05055088549852371,
1,,349,,0.08452868461608887,
1,,399,,0.04668557271361351,
1,,399,,,0.04752841219305992
1,0.0010000010952353477,399,0.065963976085186,,
2,,449,,0.06765900552272797,
2,,499,,0.07106538861989975,
2,,549,,0.0791793167591095,
2,,599,,0.0910627469420433,
2,,599,,,0.04526589438319206
2,0.0010000010952353477,599,0.06928185373544693,,
3,,649,,0.055252883583307266,
3,,699,,0.14232264459133148,
3,,749,,0.11591838300228119,
3,,799,,0.04548211023211479,
3,,799,,,0.05461263284087181
3,0.0010000010952353477,799,0.07128492742776871,,
4,,849,,0.05973856523633003,
4,,899,,0.08128785341978073,
4,,949,,0.06024569645524025,
4,,999,,0.06495743244886398,
4,,999,,,0.04386652261018753
4,0.0010000010952353477,999,0.06739334762096405,,
5,,1049,,0.04614327847957611,
5,,1099,,0.12795957922935486,
5,,1149,,0.04552317410707474,
5,,1199,,0.05277905985713005,
5,,1199,,,0.04309886321425438
5,0.0010000010952353477,1199,0.06739066541194916,,
6,,1249,,0.08683592081069946,
6,,1299,,0.048235900700092316,
6,,1349,,0.08156917989253998,
6,,1399,,0.10746470093727112,
6,,1399,,,0.05697641149163246
6,0.0010000010952353477,1399,0.06670373678207397,,
7,,1449,,0.0637793317437172,
7,,1499,,0.04438834264874458,
7,,1549,,0.14559775590896606,
7,,1599,,0.1554383486509323,
7,,1599,,,0.04617583379149437
7,0.0010000010952353477,1599,0.06869102269411087,,
8,,1649,,0.044622719287872314,
8,,1699,,0.06708221137523651,
8,,1749,,0.04658552631735802,
8,,1799,,0.04884222149848938,
8,,1799,,,0.04287534952163696
8,0.0010000010952353477,1799,0.06717266887426376,,
9,,1849,,0.0996311604976654,
9,,1899,,0.044433120638132095,
9,,1949,,0.05177012458443642,
9,,1999,,0.09541428834199905,
9,,1999,,,0.04958833381533623
9,0.0010000010952353477,1999,0.06852129846811295,,
10,,2049,,0.04410119727253914,
10,,2099,,0.047838225960731506,
10,,2149,,0.10568749904632568,
10,,2199,,0.11119049042463303,
10,,2199,,,0.04414984583854675
10,0.0010000010952353477,2199,0.06483393907546997,,
11,,2249,,0.05520041659474373,
11,,2299,,0.053548891097307205,
11,,2349,,0.0755944550037384,
11,,2399,,0.054402176290750504,
11,,2399,,,0.05045127496123314
11,0.0010000010952353477,2399,0.0646054819226265,,
12,,2449,,0.05072474852204323,
12,,2499,,0.04926586523652077,
12,,2549,,0.06362029165029526,
12,,2599,,0.05656804144382477,
12,,2599,,,0.04356782138347626
12,0.0010000010952353477,2599,0.05850053206086159,,
13,,2649,,0.08293642848730087,
13,,2699,,0.05413241311907768,
13,,2749,,0.05248190462589264,
13,,2799,,0.05569401755928993,
13,,2799,,,0.04426858574151993
13,0.0010000010952353477,2799,0.06042154133319855,,
14,,2849,,0.04701283201575279,
14,,2899,,0.045781731605529785,
14,,2949,,0.04912450164556503,
14,,2999,,0.04362012818455696,
14,,2999,,,0.04341831058263779
14,0.0010000010952353477,2999,0.05849659815430641,,
15,,3049,,0.056875795125961304,
15,,3099,,0.06396739184856415,
15,,3149,,0.04662875458598137,
15,,3199,,0.04608498513698578,
15,,3199,,,0.043567877262830734
15,0.0010000010952353477,3199,0.05400896444916725,,
16,,3249,,0.059152938425540924,
16,,3299,,0.0405760332942009,
16,,3349,,0.049604784697294235,
16,,3399,,0.043119166046381,
16,,3399,,,0.04474899172782898
16,0.0010000010952353477,3399,0.05161996930837631,,
17,,3449,,0.042779065668582916,
17,,3499,,0.06192261353135109,
17,,3549,,0.044236622750759125,
17,,3599,,0.04623361676931381,
17,,3599,,,0.0423164926469326
17,0.0010000010952353477,3599,0.05070231482386589,,
18,,3649,,0.06350534409284592,
