Time | RAM Used/Total | VRAM Used/Total
02:10:02 | 37Gi/503Gi | 10,MiB/12288MiB
02:10:03 | 37Gi/503Gi | 10,MiB/12288MiB
02:10:04 | 37Gi/503Gi | 10,MiB/12288MiB
02:10:05 | 37Gi/503Gi | 10,MiB/12288MiB
02:10:06 | 37Gi/503Gi | 10,MiB/12288MiB
02:10:07 | 37Gi/503Gi | 10,MiB/12288MiB
02:10:08 | 37Gi/503Gi | 10,MiB/12288MiB
02:10:09 | 38Gi/503Gi | 206,MiB/12288MiB
02:10:10 | 38Gi/503Gi | 206,MiB/12288MiB
02:10:11 | 38Gi/503Gi | 206,MiB/12288MiB
02:10:12 | 39Gi/503Gi | 206,MiB/12288MiB
02:10:14 | 39Gi/503Gi | 206,MiB/12288MiB
02:10:15 | 39Gi/503Gi | 206,MiB/12288MiB
02:10:16 | 40Gi/503Gi | 206,MiB/12288MiB
02:10:17 | 43Gi/503Gi | 206,MiB/12288MiB
02:10:18 | 45Gi/503Gi | 206,MiB/12288MiB
02:10:19 | 47Gi/503Gi | 206,MiB/12288MiB
02:10:20 | 45Gi/503Gi | 206,MiB/12288MiB
02:10:21 | 45Gi/503Gi | 206,MiB/12288MiB
02:10:22 | 45Gi/503Gi | 206,MiB/12288MiB
02:10:23 | 45Gi/503Gi | 206,MiB/12288MiB
02:10:24 | 45Gi/503Gi | 206,MiB/12288MiB
02:10:25 | 47Gi/503Gi | 206,MiB/12288MiB
02:10:26 | 47Gi/503Gi | 206,MiB/12288MiB
02:10:27 | 49Gi/503Gi | 206,MiB/12288MiB
02:10:28 | 50Gi/503Gi | 1846,MiB/12288MiB
02:10:29 | 50Gi/503Gi | 5330,MiB/12288MiB
02:10:30 | 50Gi/503Gi | 5330,MiB/12288MiB
02:10:31 | 50Gi/503Gi | 5330,MiB/12288MiB
02:10:33 | 51Gi/503Gi | 5330,MiB/12288MiB
02:10:34 | 51Gi/503Gi | 5330,MiB/12288MiB
02:10:35 | 51Gi/503Gi | 5330,MiB/12288MiB
02:10:36 | 51Gi/503Gi | 5330,MiB/12288MiB
02:10:37 | 51Gi/503Gi | 5330,MiB/12288MiB
02:10:38 | 51Gi/503Gi | 5330,MiB/12288MiB
02:10:39 | 51Gi/503Gi | 5330,MiB/12288MiB
02:10:40 | 51Gi/503Gi | 5330,MiB/12288MiB
02:10:41 | 51Gi/503Gi | 5330,MiB/12288MiB
02:10:42 | 51Gi/503Gi | 5330,MiB/12288MiB
02:10:43 | 52Gi/503Gi | 5330,MiB/12288MiB
02:10:44 | 52Gi/503Gi | 5330,MiB/12288MiB
02:10:45 | 52Gi/503Gi | 5330,MiB/12288MiB
02:10:46 | 52Gi/503Gi | 5330,MiB/12288MiB
02:10:47 | 52Gi/503Gi | 5330,MiB/12288MiB
02:10:48 | 52Gi/503Gi | 5330,MiB/12288MiB
02:10:49 | 52Gi/503Gi | 5330,MiB/12288MiB
02:10:50 | 52Gi/503Gi | 5330,MiB/12288MiB
02:10:51 | 52Gi/503Gi | 5330,MiB/12288MiB
02:10:52 | 52Gi/503Gi | 5330,MiB/12288MiB
02:10:54 | 53Gi/503Gi | 5330,MiB/12288MiB
02:10:55 | 53Gi/503Gi | 5330,MiB/12288MiB
02:10:56 | 53Gi/503Gi | 5330,MiB/12288MiB
02:10:57 | 53Gi/503Gi | 5330,MiB/12288MiB
02:10:58 | 53Gi/503Gi | 5330,MiB/12288MiB
02:10:59 | 53Gi/503Gi | 5330,MiB/12288MiB
02:11:00 | 53Gi/503Gi | 5330,MiB/12288MiB
02:11:01 | 53Gi/503Gi | 5330,MiB/12288MiB
02:11:02 | 54Gi/503Gi | 5330,MiB/12288MiB
02:11:03 | 54Gi/503Gi | 5330,MiB/12288MiB
02:11:04 | 55Gi/503Gi | 5330,MiB/12288MiB
02:11:05 | 55Gi/503Gi | 5330,MiB/12288MiB
02:11:06 | 56Gi/503Gi | 5330,MiB/12288MiB
02:11:07 | 56Gi/503Gi | 5330,MiB/12288MiB
02:11:08 | 57Gi/503Gi | 5330,MiB/12288MiB
02:11:09 | 56Gi/503Gi | 5330,MiB/12288MiB
02:11:10 | 57Gi/503Gi | 5330,MiB/12288MiB
02:11:11 | 56Gi/503Gi | 5330,MiB/12288MiB
02:11:12 | 56Gi/503Gi | 5330,MiB/12288MiB
02:11:14 | 56Gi/503Gi | 5330,MiB/12288MiB
02:11:15 | 57Gi/503Gi | 5330,MiB/12288MiB
02:11:16 | 57Gi/503Gi | 5330,MiB/12288MiB
02:11:17 | 58Gi/503Gi | 5330,MiB/12288MiB
02:11:18 | 58Gi/503Gi | 5330,MiB/12288MiB
02:11:19 | 58Gi/503Gi | 5330,MiB/12288MiB
02:11:20 | 58Gi/503Gi | 5330,MiB/12288MiB
02:11:21 | 58Gi/503Gi | 5330,MiB/12288MiB
02:11:22 | 58Gi/503Gi | 5330,MiB/12288MiB
02:11:23 | 58Gi/503Gi | 5330,MiB/12288MiB
02:11:24 | 58Gi/503Gi | 5330,MiB/12288MiB
02:11:25 | 58Gi/503Gi | 5330,MiB/12288MiB
02:11:26 | 58Gi/503Gi | 5330,MiB/12288MiB
02:11:27 | 59Gi/503Gi | 5330,MiB/12288MiB
02:11:28 | 59Gi/503Gi | 5330,MiB/12288MiB
02:11:29 | 59Gi/503Gi | 5330,MiB/12288MiB
02:11:30 | 59Gi/503Gi | 5330,MiB/12288MiB
02:11:31 | 59Gi/503Gi | 5330,MiB/12288MiB
