Time | RAM Used/Total | VRAM Used/Total
02:15:20 | 62Gi/503Gi | 7,MiB/12288MiB
02:15:21 | 62Gi/503Gi | 7,MiB/12288MiB
02:15:22 | 62Gi/503Gi | 7,MiB/12288MiB
02:15:23 | 62Gi/503Gi | 7,MiB/12288MiB
02:15:24 | 62Gi/503Gi | 7,MiB/12288MiB
02:15:25 | 63Gi/503Gi | 7,MiB/12288MiB
02:15:26 | 63Gi/503Gi | 7,MiB/12288MiB
02:15:27 | 63Gi/503Gi | 203,MiB/12288MiB
02:15:28 | 64Gi/503Gi | 203,MiB/12288MiB
02:15:29 | 64Gi/503Gi | 203,MiB/12288MiB
02:15:30 | 65Gi/503Gi | 203,MiB/12288MiB
02:15:31 | 67Gi/503Gi | 203,MiB/12288MiB
02:15:32 | 70Gi/503Gi | 203,MiB/12288MiB
02:15:33 | 73Gi/503Gi | 203,MiB/12288MiB
02:15:34 | 73Gi/503Gi | 203,MiB/12288MiB
02:15:35 | 71Gi/503Gi | 203,MiB/12288MiB
02:15:36 | 71Gi/503Gi | 203,MiB/12288MiB
02:15:38 | 71Gi/503Gi | 203,MiB/12288MiB
02:15:39 | 71Gi/503Gi | 203,MiB/12288MiB
02:15:40 | 71Gi/503Gi | 2955,MiB/12288MiB
02:15:41 | 72Gi/503Gi | 8743,MiB/12288MiB
02:15:42 | 72Gi/503Gi | 8743,MiB/12288MiB
02:15:43 | 72Gi/503Gi | 8743,MiB/12288MiB
02:15:44 | 72Gi/503Gi | 8743,MiB/12288MiB
02:15:45 | 72Gi/503Gi | 8743,MiB/12288MiB
02:15:46 | 72Gi/503Gi | 8743,MiB/12288MiB
02:15:47 | 72Gi/503Gi | 8743,MiB/12288MiB
02:15:48 | 73Gi/503Gi | 8743,MiB/12288MiB
02:15:49 | 70Gi/503Gi | 8743,MiB/12288MiB
02:15:50 | 70Gi/503Gi | 8743,MiB/12288MiB
02:15:51 | 71Gi/503Gi | 8743,MiB/12288MiB
02:15:52 | 72Gi/503Gi | 8743,MiB/12288MiB
