epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_loss
0,,49,,0.6250848770141602,
0,,99,,0.6237620711326599,
0,,149,,0.6095537543296814,
0,,154,,,0.6853055953979492
0,0.001000000862404704,154,0.6955991387367249,,
1,,199,,0.5983335375785828,
1,,249,,0.7411120533943176,
1,,299,,0.6280918121337891,
1,,309,,,0.6242419481277466
1,0.001000000862404704,309,0.6755375266075134,,
2,,349,,0.7303208708763123,
2,,399,,0.5982382893562317,
2,,449,,0.7558481693267822,
2,,464,,,0.6650049686431885
2,0.001000000862404704,464,0.672259509563446,,
3,,499,,0.648781955242157,
3,,549,,0.6079817414283752,
3,,599,,0.6009228825569153,
3,,619,,,0.6415599584579468
3,0.001000000862404704,619,0.6608399748802185,,
4,,649,,0.808162271976471,
4,,699,,0.5924002528190613,
4,,749,,0.6508658528327942,
4,,774,,,0.6467606425285339
4,0.001000000862404704,774,0.6529006361961365,,
5,,799,,0.643460750579834,
5,,849,,0.5815320014953613,
5,,899,,0.7491270899772644,
5,,929,,,0.618590235710144
5,0.001000000862404704,929,0.6564593315124512,,
