epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_loss
0,,49,,0.06421152502298355,
0,,99,,0.0522121898829937,
0,,136,,,0.04638338088989258
0,0.0010000007459893823,136,0.0751197561621666,,
1,,149,,0.047191865742206573,
1,,199,,0.05579191818833351,
1,,249,,0.04909508675336838,
1,,273,,,0.0453321598470211
1,0.0010000007459893823,273,0.05348632112145424,,
2,,299,,0.04712274670600891,
2,,349,,0.046800609678030014,
2,,399,,0.045851677656173706,
2,,410,,,0.04485763609409332
2,0.0010000007459893823,410,0.0548788383603096,,
3,,449,,0.05569833144545555,
3,,499,,0.10055398941040039,
3,,547,,,0.04412005841732025
3,0.0010000007459893823,547,0.05474697798490524,,
4,,549,,0.04655934125185013,
4,,599,,0.04292423278093338,
4,,649,,0.04619821533560753,
4,,684,,,0.04218650609254837
4,0.0010000007459893823,684,0.05417948216199875,,
5,,699,,0.052092134952545166,
5,,749,,0.04279204085469246,
5,,799,,0.043956123292446136,
5,,821,,,0.0467865914106369
5,0.0010000007459893823,821,0.052594393491744995,,
6,,849,,0.05618397518992424,
6,,899,,0.053309112787246704,
6,,949,,0.046448636800050735,
6,,958,,,0.04445669800043106
6,0.0010000007459893823,958,0.05490633472800255,,
7,,999,,0.04549584165215492,
7,,1049,,0.04583696648478508,
7,,1095,,,0.04343312233686447
7,0.0010000007459893823,1095,0.05405201017856598,,
8,,1099,,0.05048096925020218,
8,,1149,,0.08242224901914597,
8,,1199,,0.07068485766649246,
8,,1232,,,0.05520220100879669
8,0.0010000007459893823,1232,0.05242619663476944,,
9,,1249,,0.05346056446433067,
9,,1299,,0.0450713112950325,
9,,1349,,0.04461521655321121,
9,,1369,,,0.04299720376729965
9,0.0010000007459893823,1369,0.05221240222454071,,
10,,1399,,0.05428855121135712,
10,,1449,,0.04873357713222504,
10,,1499,,0.06231532245874405,
10,,1506,,,0.043182309716939926
10,0.0010000007459893823,1506,0.05307546257972717,,
11,,1549,,0.05850472301244736,
11,,1599,,0.052554935216903687,
11,,1643,,,0.048010069876909256
11,0.0010000007459893823,1643,0.05084287002682686,,
12,,1649,,0.05486328527331352,
12,,1699,,0.07481024414300919,
12,,1749,,0.06154829263687134,
12,,1780,,,0.04322038218379021
12,0.0010000007459893823,1780,0.05457034707069397,,
13,,1799,,0.07777120172977448,
13,,1849,,0.046810075640678406,
13,,1899,,0.045292843133211136,
13,,1917,,,0.04840363189578056
13,0.0010000007459893823,1917,0.05037666857242584,,
14,,1949,,0.06157298758625984,
14,,1999,,0.04228665679693222,
14,,2049,,0.057128891348838806,
14,,2054,,,0.042189620435237885
14,0.0010000007459893823,2054,0.05206079035997391,,
15,,2099,,0.0735161304473877,
15,,2149,,0.042073603719472885,
15,,2191,,,0.08461953699588776
15,0.0010000007459893823,2191,0.05387628823518753,,
16,,2199,,0.053486526012420654,
16,,2249,,0.05454422906041145,
16,,2299,,0.057602543383836746,
16,,2328,,,0.041794028133153915
16,9.99998883344233e-05,2328,0.05177975818514824,,
17,,2349,,0.049020979553461075,
17,,2399,,0.04300878942012787,
17,,2449,,0.04953543469309807,
17,,2465,,,0.04188355430960655
17,9.99998883344233e-05,2465,0.04927574098110199,,
18,,2499,,0.0460766963660717,
18,,2549,,0.04428812861442566,
18,,2599,,0.04878973588347435,
18,,2602,,,0.04233275353908539
18,9.99998883344233e-05,2602,0.049499139189720154,,
19,,2649,,0.06809838116168976,
19,,2699,,0.061297304928302765,
19,,2739,,,0.042635902762413025
19,9.99998883344233e-05,2739,0.049345746636390686,,
20,,2749,,0.04302537813782692,
20,,2799,,0.0439886748790741,
20,,2849,,0.042395733296871185,
20,,2876,,,0.0419180691242218
20,9.99998883344233e-05,2876,0.048510048538446426,,
21,,2899,,0.04642549157142639,
21,,2949,,0.04165465757250786,
21,,2999,,0.12601937353610992,
21,,3013,,,0.04206587001681328
21,9.99998883344233e-05,3013,0.04666828364133835,,
22,,3049,,0.04280919209122658,
22,,3099,,0.046625155955553055,
22,,3149,,0.0448780432343483,
22,,3150,,,0.041756585240364075
22,9.99998883344233e-05,3150,0.04597120359539986,,
23,,3199,,0.05050019174814224,
23,,3249,,0.04322047904133797,
23,,3287,,,0.04179943725466728
23,9.99998883344233e-05,3287,0.04473506286740303,,
