Time | RAM Used/Total | VRAM Used/Total
18:38:36 | 73Gi/503Gi | 7,MiB/MiB
18:38:38 | 73Gi/503Gi | 7,MiB/MiB
18:38:39 | 73Gi/503Gi | 7,MiB/MiB
18:38:40 | 73Gi/503Gi | 7,MiB/MiB
18:38:41 | 73Gi/503Gi | 7,MiB/MiB
18:38:42 | 73Gi/503Gi | 7,MiB/MiB
18:38:43 | 74Gi/503Gi | 7,MiB/MiB
18:38:44 | 74Gi/503Gi | 7,MiB/MiB
18:38:45 | 74Gi/503Gi | 7,MiB/MiB
18:38:46 | 74Gi/503Gi | 7,MiB/MiB
18:38:47 | 74Gi/503Gi | 7,MiB/MiB
18:38:48 | 74Gi/503Gi | 7,MiB/MiB
18:38:49 | 74Gi/503Gi | 7,MiB/MiB
18:38:50 | 74Gi/503Gi | 7,MiB/MiB
18:38:51 | 74Gi/503Gi | 7,MiB/MiB
18:38:52 | 74Gi/503Gi | 7,MiB/MiB
18:38:53 | 75Gi/503Gi | 149,MiB/MiB
18:38:54 | 75Gi/503Gi | 149,MiB/MiB
18:38:56 | 75Gi/503Gi | 1267,MiB/MiB
18:38:57 | 75Gi/503Gi | 1605,MiB/MiB
18:38:58 | 75Gi/503Gi | 2229,MiB/MiB
18:38:59 | 75Gi/503Gi | 2523,MiB/MiB
18:39:00 | 75Gi/503Gi | 2523,MiB/MiB
18:39:01 | 76Gi/503Gi | 2523,MiB/MiB
18:39:02 | 76Gi/503Gi | 2523,MiB/MiB
18:39:03 | 76Gi/503Gi | 2523,MiB/MiB
18:39:04 | 76Gi/503Gi | 2523,MiB/MiB
18:39:05 | 78Gi/503Gi | 2523,MiB/MiB
18:39:06 | 81Gi/503Gi | 2523,MiB/MiB
18:39:07 | 81Gi/503Gi | 2523,MiB/MiB
18:39:08 | 81Gi/503Gi | 2523,MiB/MiB
18:39:09 | 81Gi/503Gi | 2523,MiB/MiB
18:39:10 | 81Gi/503Gi | 2523,MiB/MiB
18:39:11 | 82Gi/503Gi | 2523,MiB/MiB
18:39:12 | 85Gi/503Gi | 2523,MiB/MiB
18:39:13 | 86Gi/503Gi | 2523,MiB/MiB
18:39:15 | 89Gi/503Gi | 2523,MiB/MiB
18:39:16 | 89Gi/503Gi | 2523,MiB/MiB
18:39:17 | 90Gi/503Gi | 2523,MiB/MiB
18:39:18 | 91Gi/503Gi | 2523,MiB/MiB
18:39:19 | 92Gi/503Gi | 2523,MiB/MiB
18:39:20 | 92Gi/503Gi | 2523,MiB/MiB
18:39:21 | 93Gi/503Gi | 2523,MiB/MiB
18:39:22 | 95Gi/503Gi | 2523,MiB/MiB
18:39:23 | 96Gi/503Gi | 2523,MiB/MiB
18:39:24 | 96Gi/503Gi | 2523,MiB/MiB
18:39:25 | 92Gi/503Gi | 7237,MiB/MiB
18:39:26 | 92Gi/503Gi | 7237,MiB/MiB
18:39:27 | 92Gi/503Gi | 7237,MiB/MiB
18:39:28 | 92Gi/503Gi | 7237,MiB/MiB
18:39:29 | 92Gi/503Gi | 7237,MiB/MiB
18:39:30 | 92Gi/503Gi | 7237,MiB/MiB
18:39:31 | 92Gi/503Gi | 7237,MiB/MiB
18:39:33 | 92Gi/503Gi | 7237,MiB/MiB
18:39:34 | 92Gi/503Gi | 7237,MiB/MiB
18:39:35 | 88Gi/503Gi | 7237,MiB/MiB
18:39:36 | 88Gi/503Gi | 7237,MiB/MiB
18:39:37 | 91Gi/503Gi | 7237,MiB/MiB
18:39:38 | 92Gi/503Gi | 7237,MiB/MiB
18:39:39 | 92Gi/503Gi | 7237,MiB/MiB
18:39:40 | 92Gi/503Gi | 7237,MiB/MiB
18:39:41 | 90Gi/503Gi | 7237,MiB/MiB
18:39:42 | 92Gi/503Gi | 7237,MiB/MiB
18:39:43 | 92Gi/503Gi | 7237,MiB/MiB
18:39:44 | 92Gi/503Gi | 7237,MiB/MiB
18:39:45 | 92Gi/503Gi | 7237,MiB/MiB
18:39:46 | 92Gi/503Gi | 7237,MiB/MiB
