Time | RAM Used/Total | VRAM Used/Total
05:06:18 | 37Gi/503Gi | 10,MiB/12288MiB
05:06:20 | 37Gi/503Gi | 10,MiB/12288MiB
05:06:22 | 38Gi/503Gi | 152,MiB/12288MiB
05:06:24 | 39Gi/503Gi | 152,MiB/12288MiB
05:06:26 | 39Gi/503Gi | 2526,MiB/12288MiB
05:06:28 | 39Gi/503Gi | 2526,MiB/12288MiB
05:06:30 | 39Gi/503Gi | 2526,MiB/12288MiB
05:06:32 | 40Gi/503Gi | 2526,MiB/12288MiB
05:06:34 | 44Gi/503Gi | 2526,MiB/12288MiB
05:06:36 | 44Gi/503Gi | 2526,MiB/12288MiB
05:06:38 | 44Gi/503Gi | 2526,MiB/12288MiB
05:06:40 | 48Gi/503Gi | 2526,MiB/12288MiB
05:06:42 | 52Gi/503Gi | 2526,MiB/12288MiB
05:06:44 | 52Gi/503Gi | 2526,MiB/12288MiB
05:06:46 | 52Gi/503Gi | 2526,MiB/12288MiB
05:06:48 | 52Gi/503Gi | 2526,MiB/12288MiB
05:06:50 | 52Gi/503Gi | 2526,MiB/12288MiB
05:06:52 | 39Gi/503Gi | 9898,MiB/12288MiB
