Time | RAM Used/Total | VRAM Used/Total
04:21:34 | 37Gi/503Gi | 10,MiB/12288MiB
04:21:36 | 37Gi/503Gi | 10,MiB/12288MiB
04:21:38 | 38Gi/503Gi | 152,MiB/12288MiB
04:21:40 | 39Gi/503Gi | 152,MiB/12288MiB
04:21:42 | 38Gi/503Gi | 2526,MiB/12288MiB
04:21:44 | 39Gi/503Gi | 2526,MiB/12288MiB
04:21:46 | 40Gi/503Gi | 2526,MiB/12288MiB
04:21:48 | 44Gi/503Gi | 2526,MiB/12288MiB
04:21:50 | 44Gi/503Gi | 2526,MiB/12288MiB
04:21:53 | 44Gi/503Gi | 2526,MiB/12288MiB
04:21:55 | 48Gi/503Gi | 2526,MiB/12288MiB
04:21:57 | 53Gi/503Gi | 2526,MiB/12288MiB
04:21:59 | 52Gi/503Gi | 2526,MiB/12288MiB
04:22:01 | 52Gi/503Gi | 2526,MiB/12288MiB
04:22:03 | 52Gi/503Gi | 2526,MiB/12288MiB
04:22:05 | 52Gi/503Gi | 2526,MiB/12288MiB
04:22:07 | 50Gi/503Gi | 2526,MiB/12288MiB
04:22:09 | 52Gi/503Gi | 2526,MiB/12288MiB
04:22:11 | 55Gi/503Gi | 2526,MiB/12288MiB
04:22:13 | 56Gi/503Gi | 3616,MiB/12288MiB
04:22:15 | 56Gi/503Gi | 3616,MiB/12288MiB
04:22:17 | 56Gi/503Gi | 3616,MiB/12288MiB
04:22:19 | 56Gi/503Gi | 3616,MiB/12288MiB
04:22:21 | 56Gi/503Gi | 3616,MiB/12288MiB
04:22:23 | 56Gi/503Gi | 3616,MiB/12288MiB
04:22:25 | 56Gi/503Gi | 3616,MiB/12288MiB
04:22:27 | 56Gi/503Gi | 3616,MiB/12288MiB
04:22:29 | 56Gi/503Gi | 3616,MiB/12288MiB
04:22:32 | 56Gi/503Gi | 3616,MiB/12288MiB
04:22:34 | 56Gi/503Gi | 3616,MiB/12288MiB
04:22:36 | 57Gi/503Gi | 3616,MiB/12288MiB
04:22:38 | 57Gi/503Gi | 3616,MiB/12288MiB
04:22:40 | 57Gi/503Gi | 3616,MiB/12288MiB
04:22:42 | 57Gi/503Gi | 3616,MiB/12288MiB
04:22:44 | 57Gi/503Gi | 3616,MiB/12288MiB
04:22:46 | 57Gi/503Gi | 3616,MiB/12288MiB
04:22:48 | 57Gi/503Gi | 3616,MiB/12288MiB
04:22:50 | 57Gi/503Gi | 3616,MiB/12288MiB
04:22:52 | 57Gi/503Gi | 3616,MiB/12288MiB
04:22:54 | 57Gi/503Gi | 3616,MiB/12288MiB
04:22:56 | 57Gi/503Gi | 3616,MiB/12288MiB
04:22:58 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:00 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:02 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:04 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:06 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:08 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:11 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:13 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:15 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:17 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:19 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:21 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:23 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:25 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:27 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:29 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:31 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:33 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:35 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:37 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:39 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:41 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:43 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:45 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:48 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:50 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:52 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:54 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:56 | 57Gi/503Gi | 3616,MiB/12288MiB
04:23:58 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:00 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:02 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:04 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:06 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:08 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:10 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:12 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:14 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:16 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:18 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:20 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:23 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:25 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:27 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:29 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:31 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:33 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:35 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:37 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:39 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:41 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:43 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:45 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:47 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:49 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:51 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:53 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:55 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:57 | 57Gi/503Gi | 3616,MiB/12288MiB
04:24:59 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:01 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:04 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:06 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:08 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:10 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:12 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:14 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:16 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:18 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:20 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:22 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:24 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:26 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:28 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:30 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:32 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:34 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:36 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:38 | 57Gi/503Gi | 3616,MiB/12288MiB
04:25:40 | 57Gi/503Gi | 3616,MiB/12288MiB
