Time | RAM Used/Total | VRAM Used/Total
03:55:38 | 37Gi/503Gi | 10,MiB/12288MiB
03:55:40 | 37Gi/503Gi | 10,MiB/12288MiB
03:55:42 | 37Gi/503Gi | 10,MiB/12288MiB
03:55:44 | 37Gi/503Gi | 10,MiB/12288MiB
03:55:46 | 37Gi/503Gi | 10,MiB/12288MiB
03:55:48 | 37Gi/503Gi | 10,MiB/12288MiB
03:55:50 | 37Gi/503Gi | 10,MiB/12288MiB
03:55:52 | 38Gi/503Gi | 152,MiB/12288MiB
03:55:54 | 38Gi/503Gi | 1326,MiB/12288MiB
03:55:56 | 38Gi/503Gi | 2424,MiB/12288MiB
03:55:59 | 39Gi/503Gi | 2526,MiB/12288MiB
03:56:01 | 40Gi/503Gi | 2526,MiB/12288MiB
