Time | RAM Used/Total | VRAM Used/Total
04:48:29 | 36Gi/503Gi | 10,MiB/12288MiB
04:48:31 | 37Gi/503Gi | 10,MiB/12288MiB
04:48:33 | 37Gi/503Gi | 10,MiB/12288MiB
04:48:35 | 37Gi/503Gi | 10,MiB/12288MiB
04:48:37 | 37Gi/503Gi | 152,MiB/12288MiB
04:48:39 | 38Gi/503Gi | 664,MiB/12288MiB
04:48:41 | 38Gi/503Gi | 2526,MiB/12288MiB
04:48:43 | 38Gi/503Gi | 2526,MiB/12288MiB
04:48:45 | 39Gi/503Gi | 2526,MiB/12288MiB
04:48:47 | 41Gi/503Gi | 2526,MiB/12288MiB
04:48:49 | 43Gi/503Gi | 2526,MiB/12288MiB
04:48:51 | 43Gi/503Gi | 2526,MiB/12288MiB
04:48:53 | 45Gi/503Gi | 2526,MiB/12288MiB
04:48:55 | 50Gi/503Gi | 2526,MiB/12288MiB
04:48:58 | 52Gi/503Gi | 2526,MiB/12288MiB
04:49:00 | 52Gi/503Gi | 2526,MiB/12288MiB
04:49:02 | 52Gi/503Gi | 2526,MiB/12288MiB
04:49:04 | 52Gi/503Gi | 2526,MiB/12288MiB
04:49:06 | 52Gi/503Gi | 2526,MiB/12288MiB
04:49:08 | 38Gi/503Gi | 9898,MiB/12288MiB
