Time | RAM Used/Total | VRAM Used/Total
05:23:57 | 37Gi/503Gi | 10,MiB/12288MiB
05:23:59 | 37Gi/503Gi | 10,MiB/12288MiB
05:24:01 | 37Gi/503Gi | 162,MiB/12288MiB
05:24:03 | 38Gi/503Gi | 258,MiB/12288MiB
05:24:05 | 38Gi/503Gi | 2536,MiB/12288MiB
05:24:07 | 39Gi/503Gi | 2536,MiB/12288MiB
05:24:09 | 39Gi/503Gi | 2536,MiB/12288MiB
05:24:11 | 41Gi/503Gi | 2536,MiB/12288MiB
05:24:14 | 43Gi/503Gi | 2536,MiB/12288MiB
05:24:16 | 43Gi/503Gi | 2536,MiB/12288MiB
05:24:18 | 46Gi/503Gi | 2536,MiB/12288MiB
05:24:20 | 51Gi/503Gi | 2536,MiB/12288MiB
05:24:22 | 52Gi/503Gi | 2536,MiB/12288MiB
05:24:24 | 52Gi/503Gi | 2536,MiB/12288MiB
05:24:26 | 52Gi/503Gi | 2536,MiB/12288MiB
05:24:28 | 52Gi/503Gi | 2536,MiB/12288MiB
05:24:30 | 48Gi/503Gi | 8182,MiB/12288MiB
05:24:32 | 48Gi/503Gi | 9750,MiB/12288MiB
05:24:34 | 48Gi/503Gi | 9750,MiB/12288MiB
05:24:36 | 48Gi/503Gi | 9750,MiB/12288MiB
05:24:38 | 48Gi/503Gi | 9750,MiB/12288MiB
05:24:40 | 48Gi/503Gi | 9750,MiB/12288MiB
05:24:42 | 48Gi/503Gi | 9750,MiB/12288MiB
05:24:44 | 48Gi/503Gi | 9750,MiB/12288MiB
05:24:46 | 48Gi/503Gi | 9750,MiB/12288MiB
05:24:48 | 48Gi/503Gi | 9750,MiB/12288MiB
05:24:50 | 48Gi/503Gi | 9750,MiB/12288MiB
05:24:53 | 48Gi/503Gi | 9750,MiB/12288MiB
05:24:55 | 48Gi/503Gi | 9750,MiB/12288MiB
05:24:57 | 48Gi/503Gi | 9750,MiB/12288MiB
05:24:59 | 48Gi/503Gi | 9750,MiB/12288MiB
05:25:01 | 48Gi/503Gi | 9750,MiB/12288MiB
