Time | RAM Used/Total | VRAM Used/Total
19:00:41 | 37Gi/503Gi | 10,MiB/MiB
19:00:42 | 37Gi/503Gi | 10,MiB/MiB
19:00:43 | 37Gi/503Gi | 10,MiB/MiB
19:00:44 | 37Gi/503Gi | 10,MiB/MiB
19:00:45 | 38Gi/503Gi | 152,MiB/MiB
19:00:46 | 38Gi/503Gi | 152,MiB/MiB
19:00:47 | 38Gi/503Gi | 1326,MiB/MiB
19:00:48 | 38Gi/503Gi | 1672,MiB/MiB
19:00:49 | 38Gi/503Gi | 2280,MiB/MiB
19:00:50 | 39Gi/503Gi | 2526,MiB/MiB
19:00:51 | 39Gi/503Gi | 2526,MiB/MiB
19:00:52 | 39Gi/503Gi | 2526,MiB/MiB
19:00:53 | 39Gi/503Gi | 2526,MiB/MiB
19:00:54 | 40Gi/503Gi | 2526,MiB/MiB
19:00:56 | 40Gi/503Gi | 2526,MiB/MiB
19:00:57 | 41Gi/503Gi | 2526,MiB/MiB
19:00:58 | 44Gi/503Gi | 2526,MiB/MiB
19:00:59 | 44Gi/503Gi | 2526,MiB/MiB
19:01:00 | 44Gi/503Gi | 2526,MiB/MiB
19:01:01 | 44Gi/503Gi | 2526,MiB/MiB
19:01:02 | 44Gi/503Gi | 2526,MiB/MiB
19:01:03 | 46Gi/503Gi | 2526,MiB/MiB
19:01:04 | 48Gi/503Gi | 2526,MiB/MiB
19:01:05 | 51Gi/503Gi | 2526,MiB/MiB
19:01:06 | 52Gi/503Gi | 2526,MiB/MiB
19:01:07 | 52Gi/503Gi | 2526,MiB/MiB
19:01:08 | 53Gi/503Gi | 2526,MiB/MiB
19:01:09 | 53Gi/503Gi | 2526,MiB/MiB
19:01:10 | 53Gi/503Gi | 2526,MiB/MiB
19:01:11 | 53Gi/503Gi | 2526,MiB/MiB
19:01:12 | 53Gi/503Gi | 2526,MiB/MiB
19:01:13 | 53Gi/503Gi | 2526,MiB/MiB
19:01:15 | 53Gi/503Gi | 2526,MiB/MiB
19:01:16 | 48Gi/503Gi | 6676,MiB/MiB
19:01:17 | 48Gi/503Gi | 7828,MiB/MiB
19:01:18 | 48Gi/503Gi | 7828,MiB/MiB
19:01:19 | 48Gi/503Gi | 7828,MiB/MiB
19:01:20 | 48Gi/503Gi | 7828,MiB/MiB
19:01:21 | 48Gi/503Gi | 7828,MiB/MiB
19:01:22 | 48Gi/503Gi | 7828,MiB/MiB
19:01:23 | 48Gi/503Gi | 7828,MiB/MiB
19:01:24 | 48Gi/503Gi | 7828,MiB/MiB
19:01:25 | 48Gi/503Gi | 7828,MiB/MiB
19:01:26 | 48Gi/503Gi | 7828,MiB/MiB
19:01:27 | 48Gi/503Gi | 7828,MiB/MiB
19:01:28 | 48Gi/503Gi | 7828,MiB/MiB
19:01:29 | 48Gi/503Gi | 7828,MiB/MiB
19:01:30 | 48Gi/503Gi | 7828,MiB/MiB
19:01:31 | 48Gi/503Gi | 7828,MiB/MiB
19:01:32 | 48Gi/503Gi | 7828,MiB/MiB
19:01:33 | 48Gi/503Gi | 7828,MiB/MiB
19:01:34 | 48Gi/503Gi | 7828,MiB/MiB
19:01:36 | 48Gi/503Gi | 7828,MiB/MiB
19:01:37 | 48Gi/503Gi | 7828,MiB/MiB
19:01:38 | 48Gi/503Gi | 7828,MiB/MiB
19:01:39 | 48Gi/503Gi | 7828,MiB/MiB
19:01:40 | 48Gi/503Gi | 7828,MiB/MiB
19:01:41 | 48Gi/503Gi | 7828,MiB/MiB
19:01:42 | 49Gi/503Gi | 7828,MiB/MiB
19:01:43 | 49Gi/503Gi | 7828,MiB/MiB
19:01:44 | 49Gi/503Gi | 7828,MiB/MiB
19:01:45 | 49Gi/503Gi | 7828,MiB/MiB
19:01:46 | 49Gi/503Gi | 7828,MiB/MiB
19:01:47 | 49Gi/503Gi | 7828,MiB/MiB
19:01:48 | 49Gi/503Gi | 7828,MiB/MiB
19:01:49 | 49Gi/503Gi | 7828,MiB/MiB
19:01:50 | 49Gi/503Gi | 7828,MiB/MiB
