Time | RAM Used/Total | VRAM Used/Total
05:23:13 | 36Gi/503Gi | 10,MiB/12288MiB
05:23:15 | 37Gi/503Gi | 10,MiB/12288MiB
05:23:17 | 37Gi/503Gi | 162,MiB/12288MiB
05:23:19 | 38Gi/503Gi | 162,MiB/12288MiB
05:23:21 | 38Gi/503Gi | 2536,MiB/12288MiB
05:23:23 | 38Gi/503Gi | 2536,MiB/12288MiB
05:23:25 | 39Gi/503Gi | 2536,MiB/12288MiB
05:23:27 | 39Gi/503Gi | 2536,MiB/12288MiB
05:23:29 | 43Gi/503Gi | 2536,MiB/12288MiB
05:23:31 | 43Gi/503Gi | 2536,MiB/12288MiB
05:23:33 | 44Gi/503Gi | 2536,MiB/12288MiB
05:23:35 | 49Gi/503Gi | 2536,MiB/12288MiB
05:23:37 | 52Gi/503Gi | 2536,MiB/12288MiB
05:23:39 | 52Gi/503Gi | 2536,MiB/12288MiB
05:23:41 | 52Gi/503Gi | 2536,MiB/12288MiB
05:23:43 | 52Gi/503Gi | 2536,MiB/12288MiB
05:23:46 | 52Gi/503Gi | 2536,MiB/12288MiB
05:23:48 | 38Gi/503Gi | 9908,MiB/12288MiB
